tracker	detector	nn	learner	sum
30	3	0	1	34
7	4	0	1	12
7	3	1	0	11
7	4	0	1	12
7	3	0	1	11
7	3	0	1	11
14	8	0	1	23
10	5	0	1	16
7	4	0	1	12
8	4	0	1	13
9	5	0	1	15
7	4	0	1	12
7	4	0	1	12
7	4	0	1	12
8	4	0	1	13
14	8	0	1	23
43	3	0	1	47
10	5	0	1	16
7	4	0	1	12
6	4	0	1	11
11	5	0	1	17
8	4	0	1	13
7	4	0	1	12
8	4	0	1	13
7	4	0	1	12
7	3	1	0	11
7	4	0	1	12
7	4	0	1	12
10	5	0	1	16
7	4	0	1	12
7	4	0	1	12
7	4	0	1	12
24	8	0	2	34
7	4	0	1	12
7	4	1	0	12
7	4	0	1	12
6	5	0	1	12
7	4	0	1	12
18	9	0	1	28
9	4	0	1	14
7	4	0	1	12
7	5	0	0	12
12	5	0	1	18
8	4	0	1	13
6	4	0	1	11
7	4	0	1	12
7	4	0	1	12
19	8	0	1	28
8	4	0	1	13
7	5	0	1	13
7	4	0	1	12
7	4	0	1	12
7	5	0	1	13
7	5	0	1	13
8	5	0	1	14
7	4	0	1	12
7	5	0	1	13
16	6	0	1	23
6	4	1	0	11
7	4	0	1	12
6	5	0	1	12
6	5	0	1	12
7	5	0	1	13
8	4	1	0	13
7	4	0	1	12
7	4	1	0	12
7	5	0	1	13
7	6	0	1	14
7	6	0	1	14
14	6	0	1	21
8	4	0	1	13
7	5	0	1	13
11	6	0	1	18
6	5	0	1	12
7	5	0	1	13
13	5	1	1	20
7	5	0	1	13
6	5	0	1	12
7	5	0	1	13
7	5	0	1	13
7	5	0	1	13
8	5	0	1	14
7	5	0	0	12
8	5	0	1	14
12	6	0	1	19
7	5	0	1	13
7	5	0	1	13
8	5	0	1	14
7	5	0	1	13
8	5	0	1	14
8	6	0	1	15
7	7	0	1	15
8	6	0	1	15
7	5	0	1	13
6	7	0	1	14
7	6	0	1	14
7	5	0	1	13
18	12	0	1	31
10	7	0	1	18
16	8	0	1	25
7	5	0	1	13
7	5	0	1	13
6	6	0	1	13
7	6	0	1	14
7	5	1	0	13
7	5	0	1	13
8	6	0	1	15
8	6	0	1	15
7	6	0	1	14
7	6	0	1	14
7	6	1	0	14
7	6	0	1	14
8	7	0	1	16
8	7	0	1	16
16	9	0	1	26
7	7	0	1	15
7	8	0	1	16
15	10	0	1	26
6	7	0	1	14
7	7	0	1	15
7	7	0	1	15
13	14	1	1	29
9	8	0	1	18
7	6	0	1	14
7	7	0	1	15
7	7	0	1	15
7	6	0	1	14
7	6	0	1	14
7	6	0	1	14
7	7	0	1	15
8	7	0	1	16
8	7	0	1	16
8	7	0	1	16
6	7	0	1	14
18	14	0	2	34
8	7	0	1	16
7	7	0	1	15
15	13	0	2	30
8	7	0	1	16
10	8	0	1	19
7	6	0	1	14
