tracker	detector	nn	learner	sum
27	2	0	1	30
7	2	0	1	10
7	2	0	2	11
7	2	1	0	10
7	2	0	1	10
7	3	0	1	11
7	3	0	1	11
6	3	0	1	10
7	3	0	1	11
6	2	0	2	10
7	3	0	1	11
25	2	0	2	29
7	3	0	0	10
7	2	0	1	10
7	3	0	1	11
6	3	0	1	10
7	3	0	0	10
6	3	0	1	10
6	3	0	1	10
7	3	0	1	11
6	3	0	1	10
7	3	0	0	10
7	2	0	2	11
7	4	0	1	12
7	3	0	1	11
6	3	0	1	10
6	3	0	1	10
7	3	0	1	11
6	3	0	1	10
10	4	0	1	15
7	3	0	1	11
7	3	0	1	11
6	3	0	1	10
6	3	1	0	10
7	2	0	1	10
23	3	0	1	27
7	3	0	1	11
7	2	0	1	10
7	2	1	0	10
6	3	0	1	10
6	3	0	1	10
7	3	0	1	11
6	3	0	1	10
6	3	0	1	10
6	3	0	1	10
7	2	0	1	10
7	3	0	0	10
7	3	0	1	11
7	3	0	1	11
7	3	0	1	11
6	4	0	1	11
6	3	0	1	10
7	2	0	1	10
7	3	0	0	10
7	3	0	1	11
6	3	0	1	10
7	3	0	1	11
7	4	0	1	12
7	3	0	1	11
7	3	0	1	11
7	3	0	1	11
6	3	0	1	10
7	3	0	1	11
6	3	0	1	10
6	3	0	0	9
7	3	0	1	11
6	3	0	1	10
6	3	0	1	10
7	2	0	1	10
7	3	0	1	11
7	3	0	1	11
9	3	0	1	13
6	4	0	1	11
6	3	0	1	10
7	3	0	1	11
7	3	0	1	11
7	2	0	1	10
7	3	0	1	11
6	3	0	1	10
7	3	0	1	11
6	4	0	1	11
6	4	0	1	11
6	5	0	1	12
7	4	0	1	12
6	5	0	1	12
6	5	0	1	12
6	3	0	1	10
7	3	1	0	11
6	3	0	0	9
7	3	0	1	11
6	3	0	1	10
6	3	0	1	10
6	4	0	1	11
6	2	0	1	9
6	3	0	1	10
7	3	0	0	10
6	3	0	1	10
7	3	0	1	11
6	4	0	1	11
6	4	0	1	11
7	4	0	1	12
6	5	0	1	12
6	5	0	1	12
7	5	0	1	13
19	9	0	1	29
6	3	0	1	10
6	3	0	1	10
7	4	0	0	11
7	4	0	1	12
7	3	0	1	11
6	3	0	1	10
6	3	0	1	10
7	3	0	1	11
6	3	1	0	10
7	3	0	1	11
6	3	1	0	10
6	3	0	1	10
7	3	0	1	11
7	3	0	1	11
7	4	0	1	12
6	5	0	0	11
7	3	0	1	11
6	4	0	1	11
7	4	0	1	12
7	5	0	1	13
6	4	0	1	11
6	5	0	1	12
6	5	0	1	12
6	5	0	1	12
5	6	0	1	12
6	5	0	1	12
5	5	0	1	11
4	3	0	0	7
4	4	0	0	8
3	4	0	0	7
2	4	0	0	6
3	3	0	0	6
2	4	0	0	6
1	4	0	0	5
1	3	0	0	4
1	4	0	0	5
1	3	0	0	4
2	3	0	0	5
1	3	0	0	4
2	3	0	0	5
2	3	0	0	5
2	4	0	0	6
2	4	0	0	6
2	4	0	0	6
1	5	0	0	6
6	11	0	0	17
2	5	0	0	7
2	5	0	0	7
1	5	0	0	6
2	4	0	0	6
2	4	0	0	6
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	4	0	0	6
2	5	0	0	7
1	5	0	0	6
2	4	0	0	6
1	4	0	0	5
2	4	0	0	6
2	4	0	0	6
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	6	0	0	8
2	8	0	0	10
2	5	0	0	7
2	4	0	0	6
4	8	0	0	12
2	5	0	0	7
2	4	0	0	6
2	4	0	0	6
2	5	0	0	7
2	5	0	0	7
1	5	0	0	6
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	4	0	0	6
1	4	0	0	5
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
1	4	0	0	5
2	5	0	0	7
2	5	0	0	7
1	4	0	0	5
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
1	5	0	0	6
2	5	0	0	7
3	5	0	0	8
1	4	0	0	5
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	4	0	0	6
2	5	0	0	7
2	5	0	0	7
1	4	0	0	5
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
1	4	0	0	5
2	4	0	0	6
2	5	0	0	7
2	6	0	0	8
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	5	0	0	7
2	6	0	0	8
2	6	0	0	8
2	6	0	0	8
0	7	0	0	7
0	7	0	0	7
0	6	1	0	7
1	6	0	0	7
0	8	0	0	8
1	7	0	0	8
0	8	0	0	8
0	8	0	0	8
0	8	0	0	8
1	8	0	0	9
0	9	0	0	9
1	8	0	0	9
0	9	0	0	9
1	8	0	0	9
0	9	0	0	9
0	10	0	0	10
1	9	0	0	10
0	9	1	0	10
1	9	0	0	10
0	10	0	0	10
0	10	0	0	10
0	10	0	0	10
1	10	0	0	11
0	11	0	0	11
1	10	0	0	11
1	10	0	0	11
1	10	0	0	11
1	10	0	0	11
0	11	0	0	11
1	10	0	0	11
1	10	0	0	11
1	10	0	0	11
1	10	1	0	12
0	11	0	0	11
0	10	0	0	10
0	11	0	0	11
0	11	0	0	11
0	11	0	0	11
1	10	0	1	12
7	4	0	1	12
6	4	0	1	11
6	5	0	1	12
7	4	0	1	12
6	5	0	1	12
6	4	0	1	11
5	5	0	1	11
7	4	0	1	12
7	5	0	1	13
7	4	0	0	11
7	4	0	1	12
7	4	0	1	12
6	4	0	1	11
7	5	0	1	13
6	4	0	1	11
6	3	0	1	10
7	4	0	1	12
7	3	1	0	11
7	4	0	1	12
7	5	0	1	13
6	5	1	1	13
7	4	0	1	12
6	4	0	1	11
7	4	1	0	12
6	3	0	1	10
7	3	0	1	11
6	3	0	1	10
7	4	0	1	12
6	4	0	0	10
6	4	1	0	11
6	5	0	1	12
18	8	0	1	27
6	4	0	1	11
7	3	0	1	11
6	3	0	1	10
7	4	0	1	12
7	4	0	1	12
7	5	0	1	13
7	5	0	1	13
7	4	0	1	12
6	3	0	1	10
7	3	1	0	11
6	3	1	0	10
7	3	1	0	11
7	4	0	1	12
6	5	0	1	12
6	4	0	1	11
7	3	0	1	11
6	3	1	0	10
7	3	0	1	11
6	4	0	1	11
6	5	0	1	12
7	4	0	1	12
6	6	0	1	13
7	5	0	1	13
7	3	0	1	11
7	3	0	1	11
7	4	0	1	12
6	4	0	1	11
7	4	0	1	12
6	3	0	1	10
6	4	0	1	11
6	3	1	0	10
6	4	0	1	11
6	3	0	1	10
7	3	1	0	11
6	4	1	0	11
7	4	0	1	12
7	3	0	1	11
7	3	0	1	11
6	4	0	1	11
6	3	1	0	10
7	3	0	1	11
6	5	0	1	12
7	4	0	1	12
6	5	0	1	12
7	2	1	0	10
7	3	0	1	11
7	3	0	1	11
7	3	1	0	11
6	4	0	1	11
7	3	0	1	11
6	4	0	1	11
7	2	1	0	10
6	4	0	1	11
6	4	0	1	11
7	3	0	1	11
7	4	0	1	12
7	4	0	1	12
6	4	0	1	11
6	3	0	1	10
7	2	1	0	10
6	3	0	1	10
7	3	0	1	11
6	4	0	1	11
6	5	0	1	12
7	4	0	1	12
7	4	1	0	12
7	4	0	1	12
6	5	0	1	12
7	2	0	1	10
7	3	0	1	11
6	3	0	1	10
6	3	1	0	10
15	5	0	1	21
6	4	0	1	11
6	3	1	0	10
7	2	1	1	11
7	3	0	1	11
7	3	0	1	11
7	3	0	1	11
7	3	0	1	11
7	3	0	1	11
7	3	1	0	11
7	4	0	1	12
7	4	0	1	12
7	4	0	1	12
7	4	1	1	13
6	3	0	1	10
6	2	1	0	9
7	2	0	1	10
6	2	1	0	9
7	3	0	1	11
7	3	0	1	11
7	3	0	1	11
6	3	0	1	10
7	3	0	1	11
6	3	0	1	10
3	2	1	1	7
15	4	1	1	21
7	2	0	1	10
6	3	0	1	10
7	3	0	1	11
7	2	0	1	10
6	3	0	1	10
6	3	0	1	10
6	2	0	1	9
7	2	1	1	11
6	2	1	0	9
6	3	0	1	10
7	3	0	1	11
7	3	0	1	11
7	2	0	1	10
7	3	0	1	11
7	3	0	1	11
7	3	0	1	11
6	4	0	1	11
6	4	0	1	11
6	3	0	1	10
7	4	0	1	12
7	4	0	1	12
7	2	0	1	10
6	3	0	1	10
6	3	0	1	10
7	3	0	1	11
6	3	0	1	10
7	3	0	1	11
6	3	0	1	10
7	3	0	1	11
7	3	0	1	11
7	3	0	1	11
7	3	0	1	11
7	2	0	1	10
6	2	0	1	9
6	3	0	1	10
6	3	0	1	10
7	3	0	1	11
6	3	0	1	10
7	2	0	1	10
7	3	0	1	11
7	3	0	1	11
7	2	0	1	10
6	3	0	1	10
6	3	0	1	10
7	2	0	0	9
7	3	0	0	10
6	3	0	0	9
6	3	0	0	9
6	4	0	0	10
7	3	0	1	11
6	4	0	1	11
7	4	0	1	12
6	4	0	1	11
7	4	0	1	12
6	2	0	1	9
7	2	0	0	9
7	2	0	0	9
7	2	0	0	9
7	3	0	0	10
6	4	0	0	10
6	3	0	0	9
6	4	0	1	11
7	3	0	1	11
7	3	0	1	11
7	3	0	1	11
6	3	0	1	10
7	2	0	1	10
7	2	0	1	10
7	2	0	1	10
6	3	0	1	10
7	3	0	0	10
6	3	0	1	10
7	3	0	1	11
6	2	0	1	9
7	2	0	1	10
7	2	0	1	10
7	2	0	1	10
7	2	0	1	10
6	3	0	1	10
6	2	0	1	9
6	3	0	0	9
6	3	0	1	10
7	2	0	1	10
6	3	0	1	10
7	2	0	1	10
7	2	0	1	10
7	2	0	1	10
7	2	0	1	10
7	2	0	1	10
7	3	0	1	11
7	2	0	1	10
6	3	0	1	10
6	3	0	1	10
6	3	0	1	10
7	2	1	0	10
7	3	0	1	11
6	2	0	1	9
7	2	0	1	10
7	2	0	1	10
7	2	0	1	10
6	3	0	1	10
6	2	0	1	9
7	2	0	1	10
7	3	0	1	11
7	3	0	1	11
6	2	0	2	10
7	3	0	1	11
7	3	0	1	11
7	3	0	1	11
5	4	0	1	10
7	3	0	1	11
7	2	0	1	10
6	2	0	1	9
6	2	1	0	9
7	3	0	1	11
6	3	0	1	10
6	3	0	1	10
7	2	0	1	10
7	2	1	1	11
7	3	0	1	11
7	2	0	1	10
7	3	0	1	11
7	3	0	1	11
6	3	0	1	10
6	3	0	1	10
7	2	1	0	10
7	2	0	1	10
7	2	0	1	10
6	3	0	1	10
7	3	0	1	11
7	3	0	1	11
5	4	0	1	10
7	3	1	0	11
7	2	0	1	10
7	2	0	1	10
7	2	0	1	10
5	3	1	1	10
7	2	0	1	10
6	3	0	1	10
6	3	0	1	10
7	2	0	1	10
6	2	1	0	9
7	2	0	1	10
6	3	0	1	10
6	3	0	1	10
7	2	0	1	10
6	2	0	1	9
6	3	0	1	10
6	3	0	1	10
7	2	0	1	10
6	3	0	1	10
6	3	0	1	10
6	2	0	1	9
7	2	0	1	10
6	3	0	1	10
6	2	0	1	9
7	2	0	1	10
6	3	0	1	10
6	3	0	1	10
7	3	0	1	11
7	2	1	0	10
6	3	0	1	10
6	3	0	1	10
6	2	0	1	9
6	3	0	1	10
6	3	0	1	10
7	3	0	1	11
7	2	0	1	10
7	2	0	1	10
7	2	0	1	10
7	3	0	1	11
7	3	0	1	11
18	5	0	1	24
6	3	0	1	10
7	2	1	0	10
7	3	0	1	11
7	2	0	1	10
6	3	1	1	11
7	3	0	1	11
6	3	0	1	10
6	3	0	1	10
7	3	0	1	11
6	3	0	1	10
6	3	0	1	10
7	2	1	1	11
6	3	0	1	10
6	2	1	0	9
7	3	0	1	11
6	3	0	1	10
7	2	0	1	10
6	3	0	1	10
6	3	0	1	10
6	2	0	1	9
6	3	0	1	10
7	2	1	0	10
7	3	0	1	11
7	2	0	1	10
7	2	0	1	10
6	3	0	1	10
6	3	0	1	10
6	3	1	1	11
7	2	0	1	10
6	3	0	1	10
7	2	0	1	10
6	3	0	1	10
7	3	0	1	11
6	2	1	1	10
6	3	0	1	10
7	2	1	0	10
6	2	1	0	9
7	2	0	1	10
7	3	0	1	11
7	2	0	1	10
7	2	0	1	10
6	3	0	1	10
6	3	0	1	10
6	3	0	1	10
6	3	0	1	10
6	3	0	1	10
7	2	0	1	10
6	3	0	1	10
7	3	0	1	11
6	2	1	0	9
6	3	0	1	10
7	3	0	1	11
6	3	0	1	10
7	2	0	1	10
6	2	0	1	9
7	3	0	1	11
7	3	0	1	11
6	3	0	1	10
7	3	0	1	11
7	3	0	1	11
7	3	0	1	11
7	3	1	1	12
6	4	0	1	11
7	2	0	1	10
7	2	1	1	11
6	3	1	0	10
6	3	0	1	10
7	3	0	1	11
6	3	0	1	10
7	2	1	1	11
7	3	0	1	11
6	4	0	1	11
7	3	1	1	12
6	4	0	1	11
7	2	0	1	10
7	2	1	0	10
6	3	1	1	11
7	3	0	1	11
7	2	0	1	10
7	3	0	1	11
6	3	0	1	10
7	3	0	1	11
6	3	0	1	10
6	3	1	1	11
7	3	0	1	11
7	2	1	1	11
6	3	0	1	10
6	3	0	1	10
7	3	0	1	11
6	3	0	1	10
6	3	0	1	10
6	3	0	1	10
6	2	0	1	9
7	3	0	1	11
6	3	0	1	10
6	3	0	1	10
7	3	0	1	11
6	3	1	1	11
6	3	0	1	10
7	2	0	1	10
6	3	0	1	10
7	2	1	0	10
7	3	0	1	11
7	2	1	0	10
7	3	0	1	11
7	3	0	1	11
7	3	1	1	12
6	2	1	1	10
6	3	0	1	10
